13º salário;Christmas bonus
capital de giro negativo;negative working capital
capital de giro, capital circulante;working capital
capital de risco;venture capital, risk capital
capital declarado;declared capital
capital emitido;issued capital
capital estrangeiro;foreign capital
capital excedente;capital in excess, share premium
capital fixo;fixed capital
capital integralizado;paid-in capital
capital integralizado superior ao valor nominal;additional paid-in capital, share premium
capital mínimo;minimum capital
capital não-integralizado;unpaid capital
capital nominal;nominal capital
capital segurado;amount insured
capital sem direito a voto;non-voting capital
capital social em ações;capital stock (USA), share capital (UK)
capital subscrito;subscribed capital
capital sujeito a risco;risk-based capital
capital totalmente integralizado;fully-paid capital stock
capitalista;capitalist
capitalização;capitalization
capitalização de empréstimos externos;capitalization of foreign loans 
capitalização de juros;interest capitalization
capitalização de lucros e reservas;capitalization of profits and reserves
capitalizar;capitalize
captação de recursos financeiros;financial funding
característica;feature
carga;cargo
carga a granel;bulk cargo
carga aérea;air freight
carga de trabalho;working load
carga tributária;tax burden
carimbo de borracha;rubber stamp
carnê-leão;compulsory income tax on certain earnings - personal
carreto;cartage
carta branca;carte blanche
carta complementar;side letter
"carta de ""conforto""";comfort letter
carta de apresentação;Letter of representation
carta de comprometimento de crédito;standby letter of credit
carta de confirmação de cumprimento de cláusulas contratuais;no default letter
carta de contratação;engagement letter
carta de crédito;letter of credit, credit letter
carta de crédito irrevogável;irrevocable letter of credit
carta de encaminhamento;cover letter
carta de intenção;letter of intent
carta de representação;letter of representantion
carta de representação da administração, carta de responsabilidade da administração (aud.);management representation letter
carta patente;charter, operating license
carta precatória de citação e penhora;precatory letter of summons and pledge
carta-circular;circular letter
cartão de apontamento de horas de trabalho;job card
cartão de banco;bank card
cartão de crédito;credit card
cartão de débito;debit card
Cartão de Identificação do Contribuinte - CIC;Individual Taxpayer Identity Card - CIC
cartão de ponto;clock card, time card
cartão magnético;ATM cashcards
cartas de concordância (para utilização de parecer em publicações);consent letter
carteira de empréstimos;loan portfolio
carteira de investimentos;investment portfolio
carteira de negócios;book of business
carteira de pedidos;backlog
cartel;cartel
cartões de assinaturas;signature plates
cartórios públicos;public records
caso;case
caso fortuito;act of God
casualidade;fortune
catalisador;catalyst
catálogo;catalogue
caução;escrow, collateral
caucionário;surety
cautela;caution
cedente, cessionário;"transferer, transferor; assignor"
ceder resseguro;cede reinsurance
cédula de análise;analytic schedule
cédula de registro de erro;error log schedule
células de trabalho;work cells
censo;census
Centrais Elétricas Brasileiras S.A. - ELETROBRÁS;Brazilian Electricity Company - ELETROBRÁS
Central de Custódia e de Liquidação Financeira de Títulos - CETIP;Clearing House for the Custody and Financial Settlement of Securities
Central Geral dos Trabalhadores - CGT;Workers' Central Union
Central Única de Trabalhadores - CUT;Workers' Central Labor Union - CUT
Centro das Indústrias do Estado de São Paulo - CIESP;Industrial Association of the State of São Paulo
centro de custo;cost center
Centro de Estatística e Informações - CEI;Statistics and Information Center
centro de lucros;profit center
centro de negócios;trade center
Centro Integrado de Apoio à Criança - CIAC;Integrated Center for Child Support
Centro Técnico Aeroespacial - CTA;Aerospace Technical Center
certidão de bem imóvel;abstract of title (to property)
certidão negativa de débito - CND;social securities contributions clearance
certificado de ações, cautela de ações;stock certificate
certificado de atuário;actuary's certificate
certificado de avaria;damage certificate
Certificado de Depósito Bancário - CDB;Bank Deposit Certificate, Certificate of Bank Deposit
Certificado de Depósito Interfinanceiro - CDI;Interbank Deposit Certificate, Certificate of Interbank Deposit
certificado de origem;certificate of origin
Certificado de Participação em Reflorestamento - CPR;Certificate of Participation in Reforestation
Certificado de privatização - CP;Privatization Certificate - CP
certificado de registro de capital;capital registration certificate
certificado de seguro;insurance certificate
certificado de transferência;pass-through certificate
certificado provisório;interim certificate
certificados de depósito a prazo;time deposit certificates
certificados de depósito com taxa fixa;fixed rate depoosit certificates
certificados de depósito com taxa flutuante;floating rate deposit certificates
cessão;assignment
"cessão de ""export notes""";assignment of export notes
cessão de participação acionária;transfer of ownership
cessionário;transferee, assignee
cesta básica;basic food basket, basket of basic foodstuffs
cesta de índices;basket of indices
cesta de moedas;basket of currencies
chamada (para pagamento de ações ou fundos emprestados ou para entrega de garantia adicional);call
chefe;boss
cheque;"check (USA); cheque (UK)"
cheque administrativo;banker's check
cheque avulso;counter check
cheque cancelado;cancelled check
cheque cruzado;crossed check
cheque de viagem;traveler's check
cheque em branco;blank check
cheque não descontado;unpresented check
cheque pós-datado (com data futura);post-dated check
cheque pré-datado (com data atual para desconto futuro);predated check
cheque sem fundos;bounced check
cheque visado;certified check, pre-cleared check
ciclo comercial;trade cycle
ciclo contábil;accounting cycle
ciclo de fluxo de caixa;cash flow cycle
ciclo de negócios;business cycle
ciclo de produção;production cycle
ciclo econômico;economic cycle
ciclo operacional;operating cycle
"cidadão; cidadania";"citizen; citizenship"
cifração;encryption
cifras;figures
cifras arredondadas;round figures
cilada;pitfall
cinta transportadora;conveyor belt
circularização;circularization
cisão parcial;split-off
cisão total;split-up
citação;subpoena
citação judicial;citation
classificação;classification, rating, ranking, grade
classificação de pessoal;personnel rating
"classificação de um banco no setor da atividade bancária (""ranking"")";bank rating
classificação do desempenho;performance rating
classificação por méritos;merit rating
classificar;graduate
cláusula;clause
cláusula adicional;supplementary contract
cláusula de abandono;abandonment clause
cláusula de ajuste;escalation clause
cláusula de arbitramento;arbitration clause
cláusula de cobertura;coverage clause
cláusula de contrato;provision
cláusula de franquia;dedeuctible clause
cláusula de guerra;war clause
cláusula de invalidez;disability clause
cláusula de qualquer motorista;any-driver clause
cláusula de rateio;coinsurance clause
cláusula de reajuste;escalator clause
cláusula de reposição;replacement clause
cláusula de retenções e limites;retention and limits clause
claúsula de valor no mercado;market value clause
cláusula de vencimento antecipado;acceleration clause
cláusula hipotecária;mortgage clause
cláusulas restritivas;restrictive covenants
cliente;customer, client
cliente com saldo credor;customer in credit
cliente do exterior;overseas customer
clientela;clientele
clientes principais;major clients
coberta (situação em que os riscos de juros e mercado estão cobertos);covered
cobertura;coverage
cobertura;insurance cover
cobertura adicional contra perdas e danos;additional cover against loss or damage
cobertura básica;basic coverage
cobertura cambial;foreign exchange cover
cobertura de assistência médica;medical care coverage
cobertura de capital;capital cover
cobertura de diárias hospitalares;hospital daily care expenses
cobertura de mortalidade;mortality coverage
cobertura suplementar dos riscos de catástrofes;supplementary catastrophe coverage
cobertura suplementar, cobertura acessória;additional cover
cobertura total;full coverage
cobrador;collector
cobrança;collection
cobrável;collectible
cobrir as despesas;defray
codificação;coding, codification
código civil;civil code
código comercial;commercial code
código de defesa do consumidor;consumer defense code
código de ética profissional;code of professional ethics
código penal;penal code
Código Tributário Nacional - CTN;National Tax Code - NTC
códigos de autenticação;authentication codes
códigos de identificação;identification codes - ID
coeficiente;coefficient
coeficientes-chave;key ratios
cofre particular em banco;safe deposit box
cofres, cofres especiais;lockboxes
coligada;associated company
colisão;collision
colocação de executivos, recolocação (de profissional);outplacement
